State,Group,Site,Depth,Parameter,Unit,Calculation,Min,Max,Excellent,Good,Fair,Best
,Warmwater,,,Dissolved oxygen,mg/L,min,3,,5,5,3,high
,Warmwater,,,Dissolved oxygen,mg/L,mean,5.5,,6,5.5,5.5,high
,,,,Alkalinity,mg/L,min,20,,,,,
,,,,Chloride,mg/L,mean,,230,,,,
,,,,Chloride,mg/L,max,,860,,,,
,,,,E. coli,cfu/100mL,geomean,,126,,,,
,,,,E. coli,cfu/100mL,90p,,410,,,,
,,,,Enterococcus,cfu/100mL,geomean,,35,,,,
,,,,Enterococcus,cfu/100mL,90p,,130,,,,
,,,,Nitrate,mg/L,max,,10,,,,
,,,,pH,None,mean,6.5,9,,,,
,,,,pH,None,min,6.5,9,,,,
,,,,pH,None,max,6.5,9,,,,
